nächste	19
präsentiert	18
treffen	33
wichtigsten	18
antworten	22
details	17
folgen	32
interesse	17
kontakt	17
samsung	17
schaden	20
spiele	20
startseite	17
zürich	18
bedeutet	17
bekommt	18
brauchen	19
danach	30
europäischen	29
größte	17
jungen	18
niemand	23
selber	18
solchen	17
sorgt	17
startet	17
trifft	18
unser	42
zwölf	18
ähnlich	19
deutschlands	16
kilometer	16
patienten	16
rang	16
re	17
sekunden	16
stimmen	21
verantwortung	16
york	20
an dem	16
angekündigt	17
befindet	16
berichtete	16
dennoch	27
dritte	17
droht	17
entscheiden	16
entschieden	16
früher	18
gesetzt	16
gleichen	17
jedes	18
jemand	17
kamen	17
lag	16
lesen	21
letzte	17
längst	16
machte	17
mag	35
mittlerweile	23
nötig	16
ohnehin	16
plant	16
politischen	16
sowohl	17
starken	17
suchen	17
unten	17
unterwegs	18
vorne	17
wolle	16
bundesliga	16
bundesregierung	15
grünen	18
investoren	15
maßnahmen	15
name	15
plus	23
regeln	16
suche	16
teilen	24
umsatz	15
wechsel	15
weise	17
zinsen	15
anzeigen	19
beste	20
betroffen	17
bezahlen	16
entfernt	17
erhält	16
erwarten	16
gehe	15
heisst	15
her	16
hervor	15
insbesondere	21
kennt	15
lebt	16
lieber	17
los	18
meint	16
müsste	15
offiziellen	15
ots	15
setzen	16
sprechen	16
stets	15
trotzdem	22
vermutlich	17
wenige	19
überblick	15
arbeitsmarkt	14
australien	14
gäste	14
umgang	14
anderer	15
auch wenn	14
aufs	15
begonnen	14
braucht	14
denken	16
erlebt	14
fallen	16
fordert	14
französische	15
französischen	14
frei	16
größten	14
häufig	18
jüngsten	14
kürzlich	14
mache	15
meinen	14
obwohl	24
profitieren	15
schneller	15
sogenannten	14
somit	16
tritt	15
unterstützen	15
verschiedenen	14
versucht	14
verurteilt	15
wichtig	19
wiederum	14
wirkt	14
«ich	14
athen	13
beiträge	13
dadurch	21
dortmund	13
finale	14
fokus	14
gerät	16
gespräche	13
gewinn	13
kommunen	13
london	15
pläne	13
raum	13
sid	13
spiegel	17
spanien	13
staatsanwaltschaft	13
all	20
arbeitet	13
bestätigt	14
betroffenen	20
bzw.	13
europäische	22
freuen	13
gehören	13
geändert	13
grossen	16
hofft	13
jedenfalls	16
langsam	13
legt	13
links	16
mehreren	13
melden	23
noch ein	13
noch einmal	13
offensichtlich	14
offiziell	15
reagieren	13
reagiert	13
rechnen	14
sogenannte	13
spricht	13
teilweise	13
täglich	15
